,ix,iy,latitude,longitude,state
0,0,0,49.9,14.2,Střední Čechy
1,1,0,49.899916466571206,14.339189617171874,Střední Čechy
2,2,0,49.89983293338797,14.478378994031065,Střední Čechy
3,3,0,49.899749400450304,14.617568130579407,Střední Čechy
4,4,0,49.8996658677582,14.756757026818736,Střední Čechy
5,0,1,49.98948775902979,14.2,Střední Čechy
6,1,1,49.989403962043916,14.339447709009907,Střední Čechy
7,2,1,49.989320165305294,14.478895175732386,Praha
8,3,1,49.98923636881392,14.618342400169295,Střední Čechy
9,4,1,49.9891525725698,14.757789382322493,Střední Čechy
10,0,2,50.078972806158674,14.2,Střední Čechy
11,1,2,50.078888744644736,14.33970709638619,Praha
12,2,2,50.07880468337976,14.479413948491748,Praha
13,3,2,50.07872062236374,14.619120556318554,Praha
14,4,2,50.078636561596674,14.758826919868488,Střední Čechy
15,0,3,50.16845513735439,14.2,Střední Čechy
16,1,3,50.16837081033469,14.339967787751227,Střední Čechy
17,2,3,50.16828648356567,14.479935329209944,Praha
18,3,3,50.168202157047325,14.619902624378055,Střední Čechy
19,4,3,50.16811783077965,14.759869673257464,Střední Čechy
