,Kód obce,Název obce,Název MOMC,Název části obce,Název ulice,Souřadnice Y,Souřadnice X,latitude,longitude
0,554782,Praha,Praha 1,Holešovice,U plovárny,743173.62,1042330.7,50.09309525703634,14.414914476139424
1,554782,Praha,Praha 1,Hradčany,Diskařská,745354.21,1042817.55,50.086080713064426,14.385655573411768
2,554782,Praha,Praha 1,Hradčany,Dlabačov,745327.38,1042806.94,50.086208211728334,14.386006692544084
3,554782,Praha,Praha 1,Hradčany,Gogolova,743484.0939999999,1042118.46,50.09460481643578,14.410211036608644
4,554782,Praha,Praha 1,Hradčany,Hrad I. nádvoří,744384.54,1042569.73,50.08947988695015,14.398605628813055
5,554782,Praha,Praha 1,Hradčany,Hrad II. nádvoří,744283.27,1042408.99,50.09103596868419,14.399700741258995
6,554782,Praha,Praha 1,Hradčany,Hrad III. nádvoří,744274.89,1042480.66,50.090407907091496,14.399953587546639
7,554782,Praha,Praha 1,Hradčany,Hradčanské náměstí,744557.64125,1042523.6325,50.08967780315978,14.396121183315241
8,554782,Praha,Praha 1,Hradčany,Jelení,744838.0372727272,1042151.0627272726,50.09265159009491,14.391527551525732
9,554782,Praha,Praha 1,Hradčany,Jiřská,743963.8855555556,1042380.3066666666,50.09168366000633,14.404067757750202
10,554782,Praha,Praha 1,Hradčany,Kanovnická,744691.3366666666,1042439.0466666667,50.09026690167826,14.394108732808427
11,554782,Praha,Praha 1,Hradčany,Kapucínská,744834.875,1042417.3325,50.09028388543294,14.392080088097774
12,554782,Praha,Praha 1,Hradčany,Keplerova,745116.45625,1042594.26625,50.088361811430104,14.388520038556956
13,554782,Praha,Praha 1,Hradčany,Loretánská,744748.7276470588,1042615.4323529413,50.08862534385429,14.39365115273435
14,554782,Praha,Praha 1,Hradčany,Loretánské náměstí,744913.93375,1042591.15625,50.08863850261046,14.391317721943414
15,554782,Praha,Praha 1,Hradčany,Mariánské hradby,743845.49,1042143.43,50.09393885795654,14.405254916264768
16,554782,Praha,Praha 1,Hradčany,Na Opyši,743844.28,1042356.99,50.09203817611521,14.405679187035085
17,554782,Praha,Praha 1,Hradčany,Na baště sv. Tomáše,743471.0633333334,1042053.1416666666,50.09520259709331,14.410266869161854
18,554782,Praha,Praha 1,Hradčany,Na náspu,745004.18,1042424.77,50.09000950987699,14.38975043632774
19,554782,Praha,Praha 1,Hradčany,Nerudova,744539.55,1042650.66,50.08856862246423,14.39661422637984
20,554782,Praha,Praha 1,Hradčany,Nový Svět,744889.2147058824,1042333.565882353,50.0909631747133,14.391167747895008
21,554782,Praha,Praha 1,Hradčany,Petřínské sady,744813.91,1043162.15,50.08367574820634,14.393793131367442
22,554782,Praha,Praha 1,Hradčany,Pohořelec,745092.1625,1042711.8733333334,50.08734419356735,14.389081102872055
